comments,id,likes,text,verified,postUrl,engagement_score
0,17969126054834445,8,"As a Biden Social aide, kind of makes you wonder if she met the same fate as Seth Rich. Sometimes being too close to stuff isn’t a good thing. 😢",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,8
4,18050431922323412,45,Damn… murdering his wife on their wedding night is diabolical!,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,49
0,18048117872178283,1,👏👏👏👏,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,1
0,18368758342139125,81,I like the Feds when they do something like this.Good job agents!,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,81
0,17927359479032955,1,😮🙌😮🙌,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,1
0,18006532451522406,1,👏👏👏,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,1
0,17896572522050602,5,Great job ❤️,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,5
1,18044854739264220,21,,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,22
0,17920201752024810,1,👏,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,1
2,17996044262743333,6,😮😮,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,8
0,18018577301671464,3,,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,3
0,18040822529096561,2,🙌🙌🙌🙌,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,2
1,18076744282722879,20,"Good job agents!
It took long enough to bring him to justice. I remember seeing he was wanted by the FBI years ago. Glad he was captured!",False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,21
2,18109370515474899,18,Don’t let Selena Gomez know. 🤘😂,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,20
0,18084108973585121,1,Throw the mavs front office in that mix!!,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,1
0,17914665945062587,22,The wheels of justice may turn slow but they are turning… 👏,False,https://www.instagram.com/p/DFkIriGtgqA/?igsh=ZjA1bnhxdjlpbTBw,22
0,18089090932554544,5,Disney is still around.... Costco will be around too 😂😂😂😂,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,5
47,17881492884229230,172,Telling a private company what to do ? Sounds like communism to me,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,219
12,18058073983962703,147,DEI must be banned in the United States!,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,159
0,17893178547157943,1,"Costco has one of the best business models ever created. If O’Leary knows so much, why hasn’t he bought them out?",False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,1
3,18005521478707123,17,Bye bye Costco,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,20
11,18134146705384635,16,"My membership is up for renewal and I am holding off for now. Just in case they are wondering if it is a good idea to go woke and dei, merit is always best. I would love to renew but I respectfully request you to consider how your customers feel.",False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,27
6,17950822295926988,23,"Obviously, it's the very DEI hires at Costco who are resisting. Proof DEI is the problem",False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,29
18,17869324089292877,92,Trump is crushing DEI. It's on its way out.,True,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,110
49,17975870594676441,184,No post about Canada imposing a 25% tax?!?,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,233
6,18065575126807051,72,"What law? Hiring managers can hire who tf they want. They hire friends even. Your CEO’s offspring has more of a chance of being your boss, than even if you were to have 50yrs experience. Leave them be.",False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,78
0,18053338328318532,6,Costco is doing the right thing,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,6
0,17957572409892813,5,COSTCO ❤️❤️❤️👏👏👏,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,5
3,18076342477642608,11,Where’s the post about Trump starting trade wars with our allies that will jack our prices up and about trump starting wars in Somalia??,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,14
5,18027613835326087,5,I’m done with @costco. I was just there. Tomorrow I take everything back.,False,https://www.instagram.com/p/DFjmWkGtQZR/?igsh=MXJta29nb2RhanJvbQ==,10
